#P	Bytes	Seconds	Trials
8	32	1.87907e-06	196608
8	64	1.95169e-06	196608
8	128	3.35206e-06	98304
8	256	3.67602e-06	98304
8	512	2.3542e-06	98304
8	1024	4.40865e-06	49152
8	2048	4.53157e-06	49152
8	4096	8.72982e-06	24576
8	8192	1.74735e-05	12288
8	16384	3.96965e-05	6144
8	32768	5.47137e-05	6144
8	65536	8.53978e-05	3072
8	131072	0.000146396	1536
8	262144	0.000268539	768
8	524288	0.000510628	768
8	1048576	0.000997042	384
8	2097152	0.00196952	192
8	4194304	0.00391442	96
8	8388608	0.00781981	48
8	16777216	0.016683	12
8	33554432	0.0334117	6
8	67108864	0.0667866	3
8	134217728	0.133527	3
8	268435456	0.267053	3
8	536870912	0.534104	3
8	1073741824	2.49336	3
