#P	Bytes	Seconds	Trials
2	8	5.55191e-07	393216
2	16	5.62345e-07	393216
2	32	5.92707e-07	393216
2	64	6.06822e-07	393216
2	128	7.3116e-07	393216
2	256	1.05506e-06	393216
2	512	7.68967e-07	393216
2	1024	8.09992e-07	393216
2	2048	2.1664e-06	196608
2	4096	3.10722e-06	98304
2	8192	5.99318e-06	49152
2	16384	1.26371e-05	24576
2	32768	1.75446e-05	12288
2	65536	2.74054e-05	12288
2	131072	4.71278e-05	6144
2	262144	8.65834e-05	3072
2	524288	0.000165465	1536
2	1048576	0.000323205	768
2	2097152	0.000638677	384
2	4194304	0.00126954	192
2	8388608	0.00253598	96
2	16777216	0.00542119	48
2	33554432	0.0108599	24
2	67108864	0.0217126	12
2	134217728	0.0434113	6
2	268435456	0.0868421	3
2	536870912	0.1737	3
2	1073741824	0.763831	3
