#P	Bytes	Seconds	Trials
8	32	3.54367e-06	98304
8	64	3.77213e-06	98304
8	128	8.39971e-06	24576
8	256	6.29138e-06	49152
8	512	4.5551e-06	49152
8	1024	5.03941e-06	49152
8	2048	6.70461e-06	49152
8	4096	1.06292e-05	24576
8	8192	2.05258e-05	12288
8	16384	8.67875e-05	3072
8	32768	0.000119569	3072
8	65536	0.000185224	1536
8	131072	0.000320901	768
8	262144	0.000592177	384
8	524288	0.00113337	192
8	1048576	0.00221684	96
8	2097152	0.00438329	48
8	4194304	0.00871512	24
8	8388608	0.0174066	12
8	16777216	0.0368083	6
8	33554432	0.0736303	3
8	67108864	0.147061	3
8	134217728	0.294042	3
8	268435456	0.588007	3
8	536870912	1.17591	3
8	1073741824	2.81053	3
