#P Bytes Seconds
4	16	0.000001366884497
4	32	0.000001366884497
4	64	0.000001366884497
4	128	0.000001366884497
4	256	0.000001366884497
4	512	0.000001366884497
4	1024	0.000001366884497
4	2048	0.000003573981037
4	4096	0.000005781077578
4	8192	0.00001019527066
4	16384	0.00001902365682
4	32768	0.00003668042914
4	65536	0.00007199397379
4	131072	0.0001426210631
4	262144	0.0002838752417
4	524288	0.0005663835988
4	1048576	0.001131400313
4	2097152	0.002261433742
4	4194304	0.004521500599
4	8388608	0.009041634314
4	16777216	0.01808190174
4	33554432	0.0361624366
4	67108864	0.07232350632
4	134217728	0.1446456458
4	268435456	0.2892899246
4	536870912	0.5785784824
4	1073741824	1.157155598
